cafe_name,avg_rating,review,indv_rating,review_date,useful,funny,cool,latitude,longtitude
Bean & Bean,4,"Excellent coffee - strong, dark and deep flavors. Roasting beans in-house goes a long way for wonderful tastes and smell. The coffee is priced very well, but some other items are a bit steep. A pretty straight forward menu with a good mix of specialty products such as the gelati, macarons, and vegan cookies. A seriously busy people-watching, macbook-loving, and cafe-socializing crowd - this place is almost always packed but oddly enough - a seat isn't impossible. The service is average and they could really work on adding just a bit of something as far as personality. Not all employees are knowledgeable about its products and menu, sometimes even outright puzzled at questions and lacking familiarity overall. But all-in-all, never bad service or a bad experience, just a bit slow and subdued at times. Everything is pretty consistent with the original location in downtown Manhattan as far as their product and culture. Just way (way!) more Asian-Americans at this Bayside outpost. An overall excellent addition to the area that looks like is here to stay.",1,2/25/2015,0,0,0,40.70730642,-74.01220905
Bean & Bean,4,"An honest, well made cup of coffee.  Really the best coffee option near Wall St. Aren't we are tired of Starbucks at this point anyway.",1,8/13/2013,0,1,0,40.70730642,-74.01220905
Bean & Bean,4,It was such a cold day in the city that I stopped in this coffee shop to grab a hot cup of coffee. I was pleasantly surprised that they sold organic coffee and it was better than your typical Starbucks. I had the white chocolate mocha which was just perfect. Just enough sweet and coffee.,1,1/5/2012,2,0,1,40.70730642,-74.01220905
Bean & Bean,4,"It's nice to see the one-cup-at-a-time motif, however small, takling hold here in NY. This independent organic coffee house makes a decent cup of joe, but I would like to see more premium options than the three offered here on a daily basis. 3.25 stars is about right for this place.",1,12/20/2011,0,0,0,40.70730642,-74.01220905
Black Fox Coffee,4,"Stopped in because I was hungry and wanted a quick bite. The few menu items I was interested in unfortunately had pork in them so I could not partake. So sad. Instead, I went with a flat white and a brownie after reading all the great reviews. Yes, I replaced lunch with a brownie. That's what being a grown up is all abou  Service was good and timely. Pretty disappointed with the brownie. Other reviews said it was half rich chocolatey/half cake like. Sadly mine was not. I was so excited too because there was only one left and I got the last one. When I bit into my brownie, I found that it was extremely fudgey and not brownie/cake like at all. The 2 ingredients I tasted most was oil and sugar, not rich chocolate. So. Sad. I didn't finish it and ended up throwing more than half of it away! Yes, I threw chocolate away. A travesty, I know. And I think I paid like $3 for it.. T___T for my flat white and brownie, I paid about $9. Coffee didn't strike me as anything outstanding, and a bit bitter for my tastes. Probably wouldn't return here unless I happen to be walking by and in dire need of caffeine.",1,12/6/2018,3,0,0,40.7065047,-74.0077715
Black Fox Coffee,4,"I rarely give reviews but I just have to say this place is awful. I used to come here a lot for meetings and sometimes for a place to work in between meetings but they have a no computer policy at the tables. Their servers are extremely rude to the point where they raised their voice and yelled at me for having my laptop out for 5 minutes to type out an email.  Their coffee is overpriced and their matcha latte has no matcha in it. At around 2pm it is so crowded, there are no seats. I recommend going elsewhere like La Colombe on Wall St, Joe & the Juice, Hole in The Wall on Cliff, or Blue Stone Lane on water. They all have better service, a better environment, and higher quality options at a much lower price.",1,1/19/2018,2,1,0,40.7065047,-74.0077715
Black Fox Coffee,4,"Came to visit my daughter, who lives in the same bldg, thought I'd sit and have a tea w one of their avocado toast and check my emails. As soon as I pull out my computer, I'm asked to move to a high top table because they were busy and the low tops are for two or more?!? I'm frickin' 65 years old, just wanting to chill, but it was made quite clear they'd rather you not sit and do any work on a computer!! Cancelled my order and left! The place must have good food/coffee, because it was busy, but certainly not kind to the elderly!",1,2/23/2019,0,0,0,40.7065047,-74.0077715
Black Fox Coffee,4,"Stepping inside Black Fox on a busy work morning or during an afternoon break immediately makes me feel calmer. The ambiance is beautiful and the music is perfect for relaxing or getting some work done.  The coffee? Amazing. Everything from cold brew, drip coffee (Americano), and espresso beverages (cappuccino) are extremely high quality.  They serve some good looking pastries and Underwest doughnuts. I also tried a slice of the Spanish tortilla, which was pricey but delicious.  The service is awesome too. The staff is super friendly and if you decide to stay your coffee is brought to you with sleek presentation.  I think this is one of the best coffee shops in FiDi!",1,6/13/2018,0,0,0,40.7065047,-74.0077715
Black Fox Coffee,4,"Soy chai is good but apparently medical service animals are not welcome here so if you have a disability or disabling medical condition requiring you to have a service animal, best to go elsewhere.  Shout out to the barista who made me feel like my disability was a huge inconvenience for them. Didn't even get to finish my second drink because I just felt unwelcome and wanted to leave after that. Good times.  UPDATE in response to Daniel: Wow thanks so much for explaining all that! Lol. The thing is my dog is a seizure dog, he detects impending seizures for my safety. As such he is a service dog and NOT an emotional support animal. I tried explaining that to you in person when you kicked me out, but you were too busy telling me about all your years of experience in the food industry and how you know the laws regarding service animals. Whatever, man...I just really don't have the patience to deal with ppl like you.  Also, Cafe Grumpy has way better chai lattes than you guys.",1,6/11/2018,2,2,1,40.7065047,-74.0077715
Black Fox Coffee,4,"This coffee shop is right under my hotel so I had to check it out. I think it's an Australian shop - great coffee, smoothies and breakfast. I love the avocado toast. The egg and sausage sandwich - the sausage is pretty spicy and not what I was expecting to eat first thing in the morning but delicious. The almond milk latte was delicious and had a hint of sweetness. They are busy at all hours of the day but I didn't have to wait long for my coffee.",1,2/1/2018,0,0,0,40.7065047,-74.0077715
Black Fox Coffee,4,"Stumbled on this place the other day and was definitely not disappointed! Such a nice cozy vibe, love the interesting coffee selection! It is definitely a breath of fresh air from the other coffee shops in Lower Manhattan.  Was catching up with friends and we were going to go somewhere else, but all the tables were used by people working on laptops.  I like that Black Fox seems to have a no laptop policy, it totally kills the vibe when everyone is sitting taking up tables working with headphones on -  cafes aren't meant to feel like public libraries! Also love that it is pretty close by to the East River ferry so it is easy to get to from Williamsburg! Will definitely be back soon :)",1,2/27/2019,0,0,0,40.7065047,-74.0077715
Black Fox Coffee,4,"A new cozy and local coffee shop in FiDi! It is a love-at-first-sight/sip coffee place for me. The high ceiling, big space, wood interior, and big windows are nice pluses! Barista warmly welcomes you upon entrance. I got an almond flat white to-go (although I would really love to hang out and spend more time here!). I appreciate the fact that baristas spend time making you a nice latte art even though you ordered it to-go! One sip, I can taste passion in it! it is very fruity (citrus taste?), rich, foamy with nice chocolaty/nutty aroma. That was not it... The after taste is sweet, which is similar to how good teas make you feel sweet but not thirsty in the end.  Highly recommend this nice coffee shop for coffee lovers/meeting/friends gathering. Bakeries and sandwiches also look delicious. I just wish they open on weekends!",1,3/11/2018,1,0,1,40.7065047,-74.0077715
Black Fox Coffee,4,"This Aussie cafe opened one block from my apt back in last year and quickly became the hot spot for Wall Streeters as well as people living in the hood.  The space is modern and welcoming. Perfect to catch up with friend or just take a coffee break . They have oat milk and almond milk in addition to cows milk. Only wish they got soy as well :/  They made damn good latte :) $6 a pop , expensive but worth the splurge once in a while .",1,1/20/2019,0,0,0,40.7065047,-74.0077715
Black Fox Coffee,4,"Espresso was fantastic! Breakfast was good, but honestly a little overpriced. Overall I think the place has the potential to be great, but the woman taking orders was very unpleasant, and ripe with attitude. I'm not sure if it was a race thing, or a sexist thing, but either way she did not like me, and I'm a wonderfully pleasant person. I will not be returning to this establishment, which is a shame, because their espresso really was fantastic.",1,9/3/2018,0,0,0,40.7065047,-74.0077715
Black Fox Coffee,4,"I have been waiting to try black fox for almost a year, it was simply too far away from me! So today I'm more than happy to run here and eventually got a taste of their famous flat white.  Probably due to the fact that I was sitting inside rather than grabbing to go, my coffee was really foamy and the latte art well-drawn. The balance was also quite right, that I first discovered a bit of bitterness while left with sweetness afterwards. This special combination completely took charge of my tastebuds and I was left fully convinced. Loved each single sip of it!  I would have to make sure that I come back sometime future, just to have a difference experience of their latte, or even espresso. In my opinion, a good coffee shop simply brews coffee; while an outstanding one tries to attach their coffee with emotion. Black fox certainly belongs to the latter and I hope to see more of it!  Don't miss this hidden gem if you happen to be in this neighborhood.",1,10/15/2016,14,9,8,40.7065047,-74.0077715
Black Fox Coffee,4,"Cute but expensive cafe in the Wall Street area. Several pastry options are available and the beverage options are rather comprehensive. Seating is also plentiful, and I was a fan of the chill atmosphere. However, not sure if I would come back if I'm getting things to go.",1,6/29/2017,4,2,3,40.7065047,-74.0077715
Black Fox Coffee,4,"The ambience here is lovely, especially when you go in early in the morning before they get crowded with fashionistas and people in suits taking meetings and using laptops, which are limited to counter space so tables can be used for friends and people getting food. The food is great. Really kind of simple and savory. Rotating espressos and multiple espresso options! The filter coffee is probably their most stand out element though, nothing quite like getting a little pot to stay and sip from a little white-glazed ceramic cup. It's a great little cafe, hidden away down one narrow old street in the financial district.",1,4/1/2018,0,0,0,40.7065047,-74.0077715
Black Fox Coffee,4,"Cold brew was great, they have a great selection of pastries (including the awesome Underwest Donuts), and the staff were fantastic. I have nothing but good things to say, they hooked me up even ten minutes after their official closing time. I love La Colombe coffee but this is my new go-to coffee stop when I'm in the fianacial.",1,9/26/2017,4,0,0,40.7065047,-74.0077715
Black Fox Coffee,4,"This place absolutely has delicious coffee! Also quite spacious- a rare luxury. The food was quite good, albeit a little pricey for the quality. Barista seemed pretty spaced out, but hey- you do you, Miley.  Ham and Cheese Baguette- ok- but would have like a slice of tomato or lettuce or something Croissant; Heart-Eyes emoji because butter.  Coffee: YUM!",1,1/5/2017,4,3,0,40.7065047,-74.0077715
Black Fox Coffee,4,Awesome staff and my favorite coffee in the city (make sure to try their espresso). Never ordered the baked goods but they look amazing and the menu changes regularly.,1,11/9/2017,0,0,0,40.7065047,-74.0077715
Black Fox Coffee,4,"tl;dr: awesome espresso, gorgeous place, very overpriced.  Food/coffee: This place seems to be Aussie owned/run, which explains the awesome espresso. I usually eat a flat white or a cortado, and they're both worthy of 5 stars. Delicious and pretty. I've had a muffin (fine, nothing special) and the smashed avo toast with a poached egg, which is REALLY good but like $11.  Space: beautiful coffee shop with high windows, a good amount of seating, mix of bar seats, communal tables, and small tables. A good place to go alone - they have newspapers and magazines and wifi, and you can face out at the window and people watch.  I took one star off just for pricing - I'd go here every day if not for that!",1,8/11/2016,0,0,0,40.7065047,-74.0077715
Black Fox Coffee,4,"REVISED REVIEW Originally I gave this place 1-STAR for the snooty staff and overall pretentious vibe but have recently returned and believe they deserve an increase in stars!  Much better selection of food, although cost is very high (for example: $9.5 for avocado toast?!) even for fresh and made-to-order quality. I think the lunch options look delicious and hopefully warrant the purchase, if anything just to treat myself one time.  I'm a latte drinker so I can't comment on the specific tastes of the coffee, although I am aware they often offer unique beans and roasts often hard to find and very are limited to region and seasonal availability. I enjoy the fact that they have an espresso and coffee offering menu for your choosing despite I don't always understand how that translates into the taste. What ends up happening is that I order a latte but don't know which espresso for it to pull from. The staff should be a bit more receptive of this and eager to offer their suggestion.  Their latte was right on point in terms of taste, temperature and texture. Kudos for the added latte art!",1,8/2/2016,1,1,0,40.7065047,-74.0077715
Black Fox Coffee,4,"One of my new favorite coffee cafes that is close to work. I had a good latte, probably one of the best coffees that I have had. The food was also deliciously good.",1,8/4/2017,0,0,0,40.7065047,-74.0077715
Black Fox Coffee,4,"Service: The people who work here are really friendly - you can tell they care about their jobs! The line moves quickly (even if it looks long) and I've never had to wait more than 2-3 minutes for my drink. Ambiance: Its a pretty large space, especially compared to other coffee shops nearby. I've never done work here, but there is definitely enough room to find a table and stay for a while (they have ""for here"" mugs for this purpose). It would be a good place to meet a friend for coffee. Coffee: *I've only ever had their iced latte* - the iced latte was amazing! Not bitter at all. Price: A bit pricey, but nothing crazy for the area. Definitely worth it if you care about the quality of your coffee. Food: I haven't tried it yet - but they have a variety of options. There are a few items that would be enough for a full lunch.",1,12/7/2016,2,1,0,40.7065047,-74.0077715
Black Fox Coffee,4,"Expensive but worth it - never knew iced coffee could taste so good before black fox. Their almond croissants are to die for. They have freshly baked chocolate cuip cookies in the afternoon, around 1:30-2pm, which are heavenly. If you are looking for water, dont go here - they only carry the expensive glass bottle type.",1,2/13/2017,1,0,0,40.7065047,-74.0077715
Black Fox Coffee,4,"Great spot with great coffee, food and  service.  One star off because it's too loud to do anything other than talk or listen to the music. It's at bar-level volume. But other than that, dope spot.",1,2/10/2017,0,0,0,40.7065047,-74.0077715
Black Fox Coffee,4,"Really top notch java.  And very cool, anti-Starbuck vibe.  I love the design and attention to detail - be it the decor, the food and the high level service.  It is MY FiDi go to place for amazing coffee.",1,8/2/2016,1,1,0,40.7065047,-74.0077715
Black Fox Coffee,4,"This is one of the nicest coffee shops in the Financial District. The coffee, pastries (I had a pain au chocolat; have yet to try the food on the menu), and atmosphere are delightful. There are many kinds of spaces available - I've caught up with friends here, worked on papers here, etc. Wifi isn't offered, which is mildly inconvenient at first, but I quickly found it nice to disconnect. After a stressful morning, I ended up here to catch up on some reading and the staff was so incredibly friendly that it turned my day around. Can't recommend this coffee shop enough; thrilled it's here in the Financial District!",1,4/1/2017,0,0,0,40.7065047,-74.0077715
Black Fox Coffee,4,"As good as coffee gets in NYC. An experience and product that has to be tasted to be believed. Would highly recommend the spot to anyone milling about the FiDi, though the coffee is definitely good enough to make a special trip to Black Fox just for the taste and experience. The best there is.",1,8/2/2016,1,1,0,40.7065047,-74.0077715
Black Press Coffee,4.5,Got the dirty chai and it unfortunately tasted like only milk. Very little chai hardly any espresso.. will be going to another coffee shop immediately after to grab another!  Also got the chocolate almond croissant which was very mediocre and a bit stale.,1,10/24/2018,3,1,1,40.7422415,-73.9831177
Black Press Coffee,4.5,"Small, cute place. Got a cappuccino and a honey cappuccino. Both delish, not overly milky - preferred the sweetness of the honey. Parlor beans are really good! Potentially my new favorite coffee spot in NYC.",1,12/17/2018,0,0,0,40.7422415,-73.9831177
Black Press Coffee,4.5,I absolutely adore this little coffee joint in NYC. Great place to spend the morning and people watch over a delicious cuppa.,1,7/5/2018,0,0,0,40.7422415,-73.9831177
Black Press Coffee,4.5,"This is definitely my new coffee spot!! The coffee is great, love the cold brew on tap, and the cappuccino is perfectly balanced. The baked goods are fresh and delicious. And most of all, the ambience is amazing. The exposed brick and light fixtures are both beautiful and calming and the space is intimate. Makes it perfect whether I'm with friends, alone for breakfast, or doing work. Love this spot, a great addition to this corner and this neighborhood!!!!",1,10/7/2017,1,0,0,40.7422415,-73.9831177
Boule & Cherie,3.5,Nasty dry & stale pastries. Literally their so called croissants trash after two bites and honestly one was already one too many. No resemblance in flavor or texture to actual croissant.,1,3/28/2019,1,1,0,40.7759409,-73.9839557
Boule & Cherie,3.5,"I was ripped off. I purchased a smoked salmon sandwich that was arugula, tomato and a tiny sliver of salmon I wont be back.",1,4/11/2019,1,1,1,40.7759409,-73.9839557
Boule & Cherie,3.5,Took 15 minutes with 2 people in line to get a hot coffee. Slow service and the baristas don't know what's going on.,1,12/2/2018,1,1,0,40.7759409,-73.9839557
Boule & Cherie,3.5,"A friend suggested this coffee shop to study since I needed to do some grocery shopping at Trader Joe's in the neighborhood. Boule & Cherie had quality coffee, outlets, a wide variety of pastries and quiches, WiFi, AND a bathroom! It was a great spot to get some studying done. It got kind of crowded on a Sunday afternoon, but actually not as bad as some other NYC coffee shops I have been to. Would definitely come again!",1,7/24/2017,2,1,2,40.7759409,-73.9839557
Boule & Cherie,3.5,"Their GOLDEN LATTE, a mix of turmeric and ginger, is so much yum !!! Granted I tend to like ginger regardless so those who don't like to taste it might not enjoy the earthiness this unusual flavor brings.  A lot of seating, so I was able to find a place to work even when it was a crowded hour. Woohoo!",1,3/29/2017,1,0,2,40.7759409,-73.9839557
Boule & Cherie,3.5,Love this place: best blueberry muffin and white mocha in town; great selection of drinks; fast WiFi; cheerful and lovely ambiance,1,1/14/2018,0,0,0,40.7759409,-73.9839557
Boule & Cherie,3.5,I wish the staff can pay more attention to the customers... like less chatting with each other and remember what the customer ordered... can't beat the location.,1,2/12/2017,0,0,0,40.7759409,-73.9839557
Boule & Cherie,3.5,"Great coffee and great menu but serves was terrible. I never heard ""Hi!, ""How are you? ""Welcome! ""Or ""Thank you! Also Always girl has bad attitude.",1,10/7/2016,0,0,0,40.7759409,-73.9839557
Boule & Cherie,3.5,This place has such potential it's too bad nothing is fresh at 10 o'clock in the morning.,1,8/23/2016,0,0,0,40.7759409,-73.9839557
Brooklyn Diamond Coffee,4,"I don't usually write reviews, but my experience here was so bad that I was compelled to. Terrible matcha lattes that have no matcha powder at all. I paid $5 for lukewarm milk foam with sprinkles of matcha on top. My drink was made in less than 30 seconds, which was the quickest, most half-assed job I've ever seen.  The guy at the counter was incredibly rude and condescending (also came across racist, I am Asian-American) when I asked if they had the matcha cronuts I saw on this Yelp page.  Me: ""Do you happen to have the matcha cronuts today?"" Him: ""I don't know what those are. Are they American?"" Me: ""I saw photos of them on your Yelp page."" Him: ""I've never seen them before and I've been here for a year and a half.""  Maybe he should do some research on his own place of employment to get an understanding of his job and general feedback??? I am also 150% certain that a young guy like him living in NYC knows what ""matcha"" means, and what a ""cronut"" is. More importantly, there is no reason to be rude to customers. Completely unacceptable. I will definitely not be returning, and will not recommend this place to anyone.  PRO TIP TO THE BUSINESS OWNER: Don't post pretty Yelp photos of products that are not actually offered, and please train your employees to provide proper customer service/decent human behavior.",1,2/7/2018,5,1,3,40.7574471,-73.9674837
Brooklyn Diamond Coffee,4,I love exploring Midtown East because it is full of gems like this one. Their matcha latte is one of the best I've had in a long time. However this place is so small it makes me uncomfortable. I'll definently come back but I just wish this place is a little bigger.,1,10/8/2017,4,3,3,40.7574471,-73.9674837
Brooklyn Diamond Coffee,4,"Solid spot with an odd name given the location, and the Yelp checkin special made the purchase a bit easier.",1,9/30/2016,0,0,0,40.7574471,-73.9674837
Brooklyn Diamond Coffee,4,"The staff is very friendly and in my opinion, they have the best cold brew. It's New Orleans style which I assume means it contains chicory. I haven't asked so can't confirm. I normally don't like chicory coffee so if this cold brew is chicory, I'm even more impressed that it's so good. Also, a small is 16 oz. which is bigger than most other shops in the area and in general.",1,5/26/2016,0,0,0,40.7574471,-73.9674837
By the Way Bakery,4.5,"We hopped in a cab to go all the way across town because I heard such great things about this place. They were sold out of a lot by 6:30pm which is OK but the red headed girl that worked the counter was so beyond rude. I dont care how good the bakrd goods are, I won't go back.",1,2/17/2019,1,0,0,40.7910023,-73.9742942
By the Way Bakery,4.5,"Visiting from DC. Was very excited to find a gluten free bakery! Walked in and the red headed girl (6pm shift on Sunday night 2/17) was absolutely rude. She was not friendly, annoyed when I asked what she had. She was cleaning the counter and had all the food behind her so I couldn't see what was offered. I don't care how yummy the food is. I would suggest going elsewhere. Someone needs to tell this chick that attitude is everything.",1,2/17/2019,1,0,0,40.7910023,-73.9742942
By the Way Bakery,4.5,"Ah, it makes sense! I ordered a scone and muffin and felt it was dry and chalky. I ventured to this bakery because of the high ratings, not realizing it was gluten-free. The scone left my stomach feeling a little uneasy. I'm not gluten free, so I really can't compare these items to other gluten free pastries...but I can say it's not as good as other bakeries that use gluten and dairy. I'm glad it exists for those with allergies!",1,9/2/2017,0,1,0,40.7910023,-73.9742942
By the Way Bakery,4.5,"Dang I wish we could get bagels this good in Houston. The Astros are better than the yankees, but New York  bagels have no equal in Texas.",1,10/12/2018,0,0,0,40.7910023,-73.9742942
By the Way Bakery,4.5,Paid $120 for half a gluten-free sheetcake.  That's a hard pass.,1,10/11/2017,0,0,0,40.7910023,-73.9742942
By the Way Bakery,4.5,"Look, I'm not only gluten-free, I eat quite a low-carb diet; very little sugar.  But it was a friend's birthday, also gluten-free, so I thought of getting her a gluten free birthday cake.  I found By the Way Bakery on Google but it turns out I'd already had some of their amazing cookies in Hastings on Hudson where they have another branch--didn't realize at first it was the same outfit.  I asked my friend which kind of cake she would like, and she said the Lemony Lemon layer cake.  Now, that would not have been my first choice, but it was her birthday.  Wowee Zowee!  It turned out to be one of the best cakes I've ever eaten, gluten free or not.  So if you're hell bent on having sugar, By the Way Bakery is a great choice.",1,10/27/2018,0,0,0,40.7910023,-73.9742942
By the Way Bakery,4.5,This Bakery is a gem in the Neighbourhood Gluten free pastries. My favorites are the delicious coconut cake and yummy brownies.,1,3/21/2018,0,0,0,40.7910023,-73.9742942
By the Way Bakery,4.5,"Excellence is at play here.  Impossibly moist gluten free cakes, that are never overly sweet.  I am a BIG fan, and do the uptown trek with glee.",1,5/5/2017,2,0,2,40.7910023,-73.9742942
